fips,area_name,state_abbreviation,Population2014e,female,white,black,asian,hispanic,white_not_hispanic,foreign_born,non_english,bachelor25,Homeownership,Households,PerCapIncome12,MedianHouseholdIncome,belowpoverty,Nonemployer,numoffirms,womanown,Populationdensity
0,United States,,318857056,50.8,77.4,13.2,5.4,17.4,62.1,12.9,20.7,28.8,64.9,115610216,28155,53046,15.4,23005620,27092908,28.8,87.4
1000,Alabama,,4849377,51.5,69.7,26.7,1.3,4.1,66.2,3.5,5.2,22.6,69.7,1838683,23680,43253,18.6,311578,382350,28.1,94.4
1001,Autauga County,AL,55395,51.4,77.9,18.7,1.1,2.7,75.6,1.6,3.5,20.9,76.8,20071,24571,53682,12.1,2947,4067,31.7,91.8
1003,Baldwin County,AL,200111,51.2,87.1,9.6,0.9,4.6,83.0,3.6,5.5,27.7,72.6,73283,26766,50221,13.9,16508,19035,27.3,114.6
1005,Barbour County,AL,26887,46.6,50.2,47.6,0.5,4.5,46.6,2.9,5.0,13.4,67.7,9200,16829,32911,26.7,1546,1667,27.0,31.0
1007,Bibb County,AL,22506,45.9,76.3,22.1,0.2,2.1,74.5,1.2,2.1,12.1,79.0,7091,17427,36447,18.1,1126,1385,0.0,36.8
1009,Blount County,AL,57719,50.5,96.0,1.8,0.3,8.7,87.8,4.3,7.3,12.1,81.0,21108,20730,44145,15.8,3563,4458,23.2,88.9
1011,Bullock County,AL,10764,45.3,26.9,70.1,0.3,7.5,22.1,5.4,5.2,12.5,74.3,3741,18628,32033,21.6,470,417,38.8,17.5
1013,Butler County,AL,20296,53.6,53.9,44.0,0.9,1.2,53.1,0.8,1.7,14.0,70.3,8235,17403,29918,28.4,1095,1769,0.0,27.0
1015,Calhoun County,AL,115916,51.8,75.8,21.1,0.9,3.5,72.9,2.4,4.5,16.1,68.7,45196,20828,39962,21.9,6352,8713,24.7,195.7
1017,Chambers County,AL,34076,52.3,58.3,39.5,0.8,2.0,56.8,1.1,1.3,11.8,67.9,13722,19291,32402,24.1,2354,1981,29.3,57.4
1019,Cherokee County,AL,26037,50.2,93.0,4.6,0.3,1.5,91.6,0.7,1.1,12.8,76.1,11656,22030,34907,21.2,1560,2180,14.5,46.9
1021,Chilton County,AL,43931,50.8,87.1,10.6,0.4,7.7,80.3,5.2,7.4,12.9,74.5,16232,20701,41250,19.5,2719,0,0.0,63.0
1023,Choctaw County,AL,13323,52.5,56.6,42.4,0.3,0.8,56.1,0.3,1.3,11.8,83.7,5518,20323,33941,21.5,809,1102,44.1,15.2
1025,Clarke County,AL,24945,52.8,54.0,44.2,0.5,1.3,53.1,0.3,1.3,11.2,72.9,9631,18979,29357,29.3,1640,2374,28.6,20.9
1027,Clay County,AL,13552,50.6,82.8,14.5,0.3,3.4,79.7,2.2,3.3,9.2,75.0,5649,18694,34002,19.0,792,1005,0.0,23.1
1029,Cleburne County,AL,15080,50.4,94.5,3.6,0.2,2.5,92.3,1.5,2.3,9.0,77.6,5601,19108,38019,18.4,930,1280,17.7,26.7
1031,Coffee County,AL,50909,50.5,76.4,17.7,1.6,6.4,71.3,5.1,7.5,22.5,69.9,18820,23380,43768,18.6,2602,4032,29.3,73.6
1033,Colbert County,AL,54543,51.8,80.8,16.3,0.5,2.6,78.8,2.0,2.6,17.7,72.1,22260,21572,39077,17.9,3630,4757,22.8,91.8
1035,Conecuh County,AL,12670,51.9,52.1,46.2,0.1,1.8,51.1,0.6,2.2,8.8,79.1,4994,15605,24658,32.7,756,980,23.0,15.6
