fips,total,trump,cruz,rubio
1001,11839,0.445,0.205,0.14800000000000002
1003,49100,0.469,0.17,0.193
1005,3357,0.501,0.179,0.146
1007,3891,0.494,0.255,0.11199999999999999
1009,14791,0.48700000000000004,0.244,0.122
1011,541,0.565,0.17,0.11599999999999999
1013,3144,0.5379999999999999,0.16699999999999998,0.133
1015,19377,0.451,0.19399999999999998,0.163
1017,4441,0.47600000000000003,0.2,0.131
1019,5193,0.521,0.17300000000000001,0.152
1021,10404,0.493,0.218,0.134
1023,2073,0.499,0.21,0.147
1025,4534,0.502,0.193,0.175
1027,3878,0.47600000000000003,0.207,0.125
1029,4189,0.483,0.21100000000000002,0.136
1031,10078,0.414,0.233,0.155
1033,8036,0.474,0.19699999999999998,0.177
1035,1271,0.59,0.16,0.10800000000000001
1037,2176,0.5529999999999999,0.195,0.10800000000000001
1039,9257,0.48100000000000004,0.185,0.133
1041,2704,0.545,0.21899999999999997,0.091
1043,20557,0.506,0.203,0.135
1045,8836,0.45299999999999996,0.21899999999999997,0.13
1047,849,0.597,0.207,0.087
1051,17412,0.478,0.182,0.134
1053,5602,0.493,0.171,0.18
1055,18417,0.461,0.207,0.168
1057,4797,0.499,0.21,0.133
1059,4104,0.515,0.213,0.134
1061,6190,0.486,0.237,0.13
1063,268,0.5379999999999999,0.21600000000000003,0.121
1065,1117,0.521,0.25,0.11699999999999999
1067,3713,0.46799999999999997,0.223,0.14300000000000002
1069,19558,0.40399999999999997,0.225,0.182
1071,10596,0.499,0.16399999999999998,0.16899999999999998
1073,92419,0.35,0.23800000000000002,0.247
1075,3415,0.504,0.193,0.13
1077,17221,0.42100000000000004,0.183,0.187
1079,6662,0.528,0.17600000000000002,0.135
1081,20509,0.33,0.23199999999999998,0.225
1083,18689,0.43,0.214,0.18899999999999997
1085,834,0.595,0.163,0.099
1087,728,0.48,0.198,0.124
1089,64741,0.36200000000000004,0.207,0.26
1091,1046,0.539,0.212,0.11800000000000001
1093,6448,0.529,0.192,0.139
1095,18092,0.495,0.151,0.20600000000000002
1097,61351,0.452,0.215,0.18899999999999997
1099,3701,0.521,0.174,0.158
1101,26119,0.39399999999999996,0.17600000000000002,0.209
1103,24124,0.446,0.19699999999999998,0.183
1105,365,0.515,0.33,0.08800000000000001
1107,2487,0.441,0.258,0.138
1109,5253,0.46,0.201,0.147
1111,4437,0.516,0.207,0.128
1113,3667,0.474,0.27,0.12300000000000001
1117,52162,0.344,0.263,0.23
1119,275,0.591,0.16,0.139
1121,12097,0.51,0.2,0.136
1123,8649,0.528,0.15,0.146
1125,30465,0.375,0.25,0.204
1127,14883,0.551,0.204,0.10800000000000001
1129,2326,0.537,0.218,0.153
1131,521,0.544,0.21600000000000003,0.121
1133,5838,0.561,0.18,0.11900000000000001
4001,2159,0.436,0.376,undefined
4003,10951,0.498,0.293,undefined
4005,6909,0.392,0.335,undefined
4007,4752,0.539,0.235,undefined
4009,3309,0.391,0.419,undefined
4011,543,0.44799999999999995,0.377,undefined
4012,1243,0.674,0.17300000000000001,undefined
4013,250541,0.462,0.231,undefined
4015,19921,0.648,0.217,undefined
4017,7480,0.414,0.405,undefined
4019,69795,0.436,0.27399999999999997,undefined
4021,17828,0.575,0.192,undefined
4023,1393,0.452,0.268,undefined
4025,30811,0.47600000000000003,0.295,undefined
4027,7468,0.495,0.28800000000000003,undefined
5001,2684,0.385,0.213,0.28300000000000003
5003,1419,0.40399999999999997,0.278,0.19399999999999998
5005,8480,0.43799999999999994,0.28600000000000003,0.159
5007,41397,0.27899999999999997,0.281,0.303
5009,6124,0.40700000000000003,0.251,0.192
5011,1663,0.44299999999999995,0.226,0.20800000000000002
5013,405,0.41600000000000004,0.344,0.184
5015,0,0,0,0
5017,785,0.511,0.187,0.19899999999999998
5019,2597,0.264,0.345,0.285
